gendesk 1.0.9-1
geoclue 2.5.7-4
geocode-glib 3.26.2-1
gettext 0.21-1
ghc-libs 9.0.1-5
ghostscript 9.55.0-3
giflib 5.2.1-2
girara 0.3.6-1
git 2.34.1-1
git-delta 0.11.3-1
github-cli 2.4.0-1
gitui 0.19.0-1
gl2ps 1.4.2-2
glew 2.2.0-2
glew-2.1 2.1.0-1
glib-networking 1:2.70.1-1
glib2 2.70.2-1
glibc 2.33-5
glm 0.9.9.8-1
glslang 11.7.1-3
glu 9.0.2-1
gmp 6.2.1-1
gnome-bluetooth 3.34.5-2
gnome-color-manager 3.36.0-1
gnome-control-center 41.2-1
gnome-desktop 1:41.2-1
gnome-epub-thumbnailer 1.6-2
gnome-keyring 1:40.0-1
gnome-online-accounts 3.40.1-1
gnome-settings-daemon 41.0-1
gnu-free-fonts 20120503-8
gnugo 3.8-7
gnupg 2.2.32-2
gnutls 3.7.2-2
go 2:1.17.6-1
gobject-introspection-runtime 1.70.0-4
gpgme 1.16.0-3
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.8-1
granatier 21.12.1-1
grantlee 5.2.0-3
grantlee-editor 21.12.1-1
grantleetheme 21.12.1-1
graphene 1.10.6-1
graphite 1:1.3.14-1
grep 3.7-1
groff 1.22.4-6
grub 2:2.06-3
gsettings-desktop-schemas 41.0-1
gsl 2.7.1-1
gsm 1.0.19-1
gsound 1.0.3-1
gssdp 1.4.0.1-1
gst-plugins-bad 1.18.5-4
gst-plugins-bad-libs 1.18.5-4
gst-plugins-base 1.18.5-1
gst-plugins-base-libs 1.18.5-1
gst-plugins-good 1.18.5-2
gstreamer 1.18.5-1
gtk-update-icon-cache 1:4.6.0-1
gtk2 2.24.33-2
gtk3 1:3.24.31-1
guile 2.2.7-2
gumbo-parser 0.10.1-2
gupnp 1:1.4.1-1
gupnp-igd 1.2.0-2
gwenview 21.12.1-1
gzip 1.11-1
harfbuzz 3.2.0-1
harfbuzz-icu 3.2.0-1
haskell-aeson 1.5.6.0-66
haskell-aeson-pretty 0.8.9-16
haskell-ansi-terminal 0.11-196
haskell-appar 0.1.8-12
haskell-asn1-encoding 0.9.6-144
haskell-asn1-parse 0.9.5-144
haskell-asn1-types 0.3.4-123
haskell-assoc 1.0.2-115
haskell-async 2.2.3-98
haskell-attoparsec 0.14.2-5
haskell-base-compat 0.11.2-6
haskell-base-compat-batteries 0.11.2-173
haskell-base-orphans 0.8.5-26
haskell-base16-bytestring 1.0.1.0-80
haskell-base64-bytestring 1.2.1.0-21
haskell-basement 0.0.12-3
haskell-bifunctors 5.5.11-40
haskell-blaze-builder 0.4.2.2-1
haskell-blaze-html 0.9.1.2-144
haskell-blaze-markup 0.8.2.8-50
haskell-byteable 0.1.1-24
haskell-byteorder 1.0.4-23
haskell-case-insensitive 1.2.1.0-123
haskell-cereal 0.5.8.2-1
